gt,gvalue
0,0
0.05,0.000125
0.1,0.001
0.15,0.003375
0.2,0.008
0.25,0.015625
0.3,0.027
0.35,0.042875
0.4,0.064
0.45,0.091125
0.5,0.125
0.55,0.166375
0.6,0.216
0.65,0.274625
0.7,0.343
0.75,0.421875
0.8,0.512
0.85,0.614125
0.9,0.729
0.95,0.857375
1,1
1.05,1.15763
1.1,1.331
1.15,1.52087
1.2,1.728
1.25,1.95312
1.3,2.197
1.35,2.46037
1.4,2.744
1.45,3.04862
1.5,3.375
1.55,3.72387
1.6,4.096
1.65,4.49212
1.7,4.913
1.75,5.35937
1.8,5.83199
1.85,6.33162
1.9,6.85899
1.95,7.41487
2,7.99999
2.05,8.61512
2.1,9.26099
2.15,9.93836
2.2,10.648
2.25,11.3906
2.3,12.167
2.35,12.9779
2.4,13.824
2.45,14.7061
2.5,15.625
2.55,16.5814
2.6,17.576
2.65,18.6096
2.7,19.683
2.75,20.7968
2.8,21.952
2.85,23.1491
2.9,24.389
2.95,25.6723
3,27
3.05,28.3726
3.1,29.7909
3.15,31.2558
3.2,32.7679
3.25,34.3281
3.3,35.9369
3.35,37.5953
3.4,39.3039
3.45,41.0635
3.5,42.8749
3.55,44.7388
3.6,46.6559
3.65,48.627
3.7,50.6529
3.75,52.7343
3.8,54.8719
3.85,57.0665
3.9,59.3189
3.95,61.6298
