nt,nvalue
0,-1.03637
0.05,6.40649
0.1,-5.99484
0.15,0.702445
0.2,0.485056
0.25,-1.19247
0.3,1.85972
0.35,0.798813
0.4,1.6439
0.45,-9.38823
0.5,0.301787
0.55,-2.49159
0.6,-2.32903
0.65,-0.410368
0.7,7.26806
0.75,-2.63753
0.8,3.32461
0.85,1.19553
0.9,1.10368
0.95,5.67386
1,2.04409
1.05,-1.61022
1.1,8.05671
1.15,-1.28723
1.2,2.42879
1.25,3.04982
1.3,-1.25526
1.35,7.2053
1.4,8.01015
1.45,5.77275
1.5,7.14525
1.55,7.03734
1.6,1.73712
1.65,5.32854
1.7,8.35482
1.75,6.53705
1.8,3.9645
1.85,-0.343516
1.9,6.33202
1.95,13.7214
2,4.83314
2.05,4.92585
2.1,5.0718
2.15,8.17051
2.2,14.4695
2.25,11.261
2.3,12.2081
2.35,16.6569
2.4,5.80752
2.45,15.4278
2.5,15.6087
2.55,17.8958
2.6,15.8892
2.65,17.6458
2.7,10.0093
2.75,20.8559
2.8,23.7027
2.85,22.206
2.9,14.9268
2.95,33.5891
3,30.0685
3.05,31.3424
3.1,29.3921
3.15,31.6048
3.2,34.0887
3.25,38.0826
3.3,39.5422
3.35,41.3735
3.4,36.2711
3.45,36.8856
3.5,43.6548
3.55,35.9851
3.6,51.1315
3.65,49.8057
3.7,55.2307
3.75,51.5558
3.8,52.55
3.85,50.7358
3.9,51.3757
3.95,70.8656
